state_name,chcs_total,sanctioned,in_position,vacant
Andhra Pradesh,139,139,124,15
Arunachal Pradesh,56,1,1,0
Assam,191,32,21,11
Bihar,310,291,7,284
Chhattisgarh,171,156,13,143
Goa,1,1,0,1
Gujarat,354,59,18,41
Haryana,102,8,4,4
Himachal Pradesh,102,0,1,
Jharkhand,190,190,14,176
Karnataka,189,138,84,54
Kerala,212,2,2,0
Madhya Pradesh,327,328,9,319
Maharashtra,260,174,94,80
Manipur,8,3,0,3
Meghalaya,27,1,1,0
Mizoram,9,0,0,0
Nagaland,8,0,0,0
Odisha,330,0,1,
Punjab,84,26,2,24
Rajasthan,737,227,97,130
Sikkim,2,0,0,0
Tamil Nadu,388,18,17,1
Telangana,29,25,10,15
Tripura,18,1,1,0
Uttarakhand,51,35,5,30
Uttar Pradesh,932,708,140,568
West Bengal,346,74,29,45
Andaman & Nicobar Islands,4,4,1,3
Chandigarh,0,,,
Dadra & Nagar Haveli and Daman & Diu,3,0,0,0
Delhi,0,,,
Jammu & Kashmir,46,46,22,24
Ladakh,7,5,1,4
Lakshadweep,3,2,0,2
Puducherry,3,0,0,0
