state_name,chcs_total,required,sanctioned,in_position,vacant,shortfall
Andhra Pradesh,139,278,318,296,22,
Arunachal Pradesh,56,112,110,110,0,2
Assam,191,382,654,531,123,
Bihar,310,620,1135,556,579,64
Chhattisgarh,171,342,844,507,337,
Goa,1,2,11,7,4,
Gujarat,354,708,1096,822,274,
Haryana,102,204,626,433,193,
Himachal Pradesh,102,204,302,210,92,
Jharkhand,190,380,1140,708,432,
Karnataka,189,378,182,134,48,244
Kerala,212,424,1018,970,48,
Madhya Pradesh,327,654,984,793,191,
Maharashtra,260,520,479,418,61,102
Manipur,8,16,69,51,18,
Meghalaya,27,54,98,94,4,
Mizoram,9,18,12,12,0,6
Nagaland,8,16,10,12,,4
Odisha,330,660,4508,1610,2898,
Punjab,84,168,248,182,66,
Rajasthan,737,1474,2355,1840,515,
Sikkim,2,4,3,3,0,1
Tamil Nadu,388,776,1665,1327,338,
Telangana,29,58,69,39,30,19
Tripura,18,36,62,62,0,
Uttarakhand,51,102,245,224,21,
Uttar Pradesh,932,1864,3408,2409,999,
West Bengal,346,692,2342,1715,627,
Andaman & Nicobar Islands,4,8,18,16,2,
Chandigarh,0,0,,,,
Dadra & Nagar Haveli and Daman & Diu,3,6,5,5,0,1
Delhi,0,0,,,,
Jammu & Kashmir,46,92,451,333,118,
Ladakh,7,14,47,25,22,
Lakshadweep,3,6,16,13,3,
Puducherry,3,6,26,16,10,
