state_name,chcs_total,required,sanctioned,in_position,vacant,shortfall
Andhra Pradesh,139,1390,1288,1231,57,159
Arunachal Pradesh,56,560,232,232,0,328
Assam,191,1910,1442,1282,160,628
Bihar,310,3100,3271,988,2283,2112
Chhattisgarh,171,1710,1934,1561,373,149
Goa,1,10,16,10,6,0
Gujarat,354,3540,2583,2474,109,1066
Haryana,102,1020,1204,1065,139,
Himachal Pradesh,102,1020,314,210,104,810
Jharkhand,190,1900,950,736,214,1164
Karnataka,189,1890,1341,1213,128,677
Kerala,212,2120,1136,1104,32,1016
Madhya Pradesh,327,3270,3280,2973,307,297
Maharashtra,260,2600,2111,1901,210,699
Manipur,8,80,59,44,15,36
Meghalaya,27,270,222,218,4,52
Mizoram,9,90,49,49,0,41
Nagaland,8,80,30,34,,46
Odisha,330,3300,2761,1606,1155,1694
Punjab,84,840,939,582,357,258
Rajasthan,737,7370,6507,4734,1773,2636
Sikkim,2,20,48,36,12,
Tamil Nadu,388,3880,2321,2137,184,1743
Telangana,29,290,243,210,33,80
Tripura,18,180,117,117,0,63
Uttarakhand,51,510,279,258,21,252
Uttar Pradesh,932,9320,8882,5732,3150,3588
West Bengal,346,3460,3924,3807,117,
Andaman & Nicobar Islands,4,40,62,56,6,
Chandigarh,0,0,,,,
Dadra & Nagar Haveli and Daman & Diu,3,30,24,18,6,12
Delhi,0,0,,,,
Jammu & Kashmir,46,460,310,215,95,245
Ladakh,7,70,50,41,9,29
Lakshadweep,3,30,35,33,2,
Puducherry,3,30,35,32,3,
