state_name,chcs_total,sanctioned,in_position,vacant
Andhra Pradesh,139,131,112,19
Arunachal Pradesh,56,1,1,0
Assam,191,56,41,15
Bihar,310,242,22,220
Chhattisgarh,171,165,27,138
Goa,1,1,0,1
Gujarat,354,134,69,65
Haryana,102,6,0,6
Himachal Pradesh,102,0,1,
Jharkhand,190,190,28,162
Karnataka,189,168,123,45
Kerala,212,17,17,0
Madhya Pradesh,327,327,15,312
Maharashtra,260,211,139,72
Manipur,8,3,0,3
Meghalaya,27,1,1,0
Mizoram,9,0,0,0
Nagaland,8,1,1,0
Odisha,330,306,86,220
Punjab,84,70,14,56
Rajasthan,737,304,177,127
Sikkim,2,0,0,0
Tamil Nadu,388,14,13,1
Telangana,29,25,15,10
Tripura,18,1,1,0
Uttarakhand,51,51,8,43
Uttar Pradesh,932,676,190,486
West Bengal,346,78,36,42
Andaman & Nicobar Islands,4,4,1,3
Chandigarh,0,,,
Dadra & Nagar Haveli and Daman & Diu,3,1,0,1
Delhi,0,,,
Jammu & Kashmir,46,40,22,18
Ladakh,7,11,3,8
Lakshadweep,3,2,0,2
Puducherry,3,1,1,0
