state_name,chcs_total,required,sanctioned,in_position,vacant,shortfall
Andhra Pradesh,139,139,138,134,4,5
Arunachal Pradesh,56,56,14,14,0,42
Assam,191,191,111,92,19,99
Bihar,310,310,461,93,368,217
Chhattisgarh,171,171,182,145,37,26
Goa,1,1,2,2,0,
Gujarat,354,354,291,198,93,156
Haryana,102,102,92,47,45,55
Himachal Pradesh,102,102,54,36,18,66
Jharkhand,190,190,190,69,121,121
Karnataka,189,189,156,117,39,72
Kerala,212,212,50,48,2,164
Madhya Pradesh,327,327,328,173,155,154
Maharashtra,260,260,189,161,28,99
Manipur,8,8,4,3,1,5
Meghalaya,27,27,28,26,2,1
Mizoram,9,9,7,7,0,2
Nagaland,8,8,0,0,0,8
Odisha,330,330,191,65,126,265
Punjab,84,84,88,84,4,0
Rajasthan,737,737,962,689,273,48
Sikkim,2,2,4,3,1,
Tamil Nadu,388,388,272,214,58,174
Telangana,29,29,16,9,7,20
Tripura,18,18,10,10,0,8
Uttarakhand,51,51,34,9,25,42
Uttar Pradesh,932,932,508,173,335,759
West Bengal,346,346,283,161,122,185
Andaman & Nicobar Islands,4,4,4,1,3,3
Chandigarh,0,0,,,,
Dadra & Nagar Haveli and Daman & Diu,3,3,3,2,1,1
Delhi,0,0,,,,
Jammu & Kashmir,46,46,132,114,18,
Ladakh,7,7,15,12,3,
Lakshadweep,3,3,7,6,1,
Puducherry,3,3,3,2,1,1
