state_name,total_phcs,phcs_functioning_24x7,with_labour_room,with_functional_ot
Andhra Pradesh,1144,1144,1133,973
Arunachal Pradesh,128,44,80,8
Assam,927,318,673,65
Bihar,1684,400,442,229
Chhattisgarh,770,478,727,34
Goa,21,11,11,2
Gujarat,1490,488,1304,352
Haryana,392,237,308,7
Himachal Pradesh,554,0,19,2
Jharkhand,310,216,244,96
Karnataka,2131,896,1334,438
Kerala,782,147,0,1
Madhya Pradesh,1442,901,998,340
Maharashtra,1916,1399,1827,1653
Manipur,74,63,64,5
Meghalaya,116,66,116,0
Mizoram,56,38,53,16
Nagaland,125,26,102,18
Odisha,1278,249,434,32
Punjab,397,184,120,13
Rajasthan,2455,694,1830,327
Sikkim,24,24,24,24
Tamil Nadu,1415,1415,1412,74
Telangana,595,290,568,285
Tripura,111,94,89,0
Uttarakhand,544,103,172,158
Uttar Pradesh,3015,1562,1509,517
West Bengal,907,187,154,29
Andaman & Nicobar Islands,22,22,22,8
Chandigarh,0,,,
Dadra & Nagar Haveli and Daman & Diu,12,9,9,2
Delhi,3,0,0,0
Jammu & Kashmir,884,181,253,37
Ladakh,32,12,26,0
Lakshadweep,4,3,3,0
Puducherry,25,15,21,3
