state_name,total_rural_phcs,mo_sanctioned,mo_in_position,mo_vacant,mo_shortfall
Andhra Pradesh,1144,2256,2217,39,
Arunachal Pradesh,128,110,110,0,18
Assam,927,1320,1100,220,
Bihar,1684,3124,1379,1745,305
Chhattisgarh,770,1011,477,534,293
Goa,21,78,74,4,
Gujarat,1490,1824,1402,422,88
Haryana,392,761,505,256,
Himachal Pradesh,554,597,487,110,67
Jharkhand,310,526,234,292,76
Karnataka,2131,2115,1732,383,399
Kerala,782,1948,1851,97,
Madhya Pradesh,1442,2282,1547,735,
Maharashtra,1916,4291,3610,681,
Manipur,74,279,222,57,
Meghalaya,116,172,163,9,
Mizoram,56,48,48,0,8
Nagaland,125,71,65,6,60
Odisha,1278,1315,1165,150,113
Punjab,397,659,408,251,
Rajasthan,2455,2622,2129,493,326
Sikkim,24,36,34,2,
Tamil Nadu,1415,2795,2311,484,
Telangana,595,1001,790,211,
Tripura,111,265,265,0,
Uttarakhand,544,619,538,81,6
Uttar Pradesh,3015,4448,2827,1621,188
West Bengal,907,1403,1141,262,
Andaman & Nicobar Islands,22,53,50,3,
Chandigarh,0,,,,
Dadra & Nagar Haveli and Daman & Diu,12,14,13,1,
Delhi,3,5,5,0,
Jammu & Kashmir,884,1517,935,582,
Ladakh,32,79,59,20,
Lakshadweep,4,11,11,0,
Puducherry,25,59,45,14,
