state_name,rural_pop_est,sc_required,sc_in_position,sc_shortfall,phc_required,phc_in_position,phc_shortfall,chc_required,chc_in_position,chc_shortfall
Andhra Pradesh,33562000,6712,11074,,1118,1144,,279,139,140
Arunachal Pradesh,1168000,233,409,,38,128,,9,56,
Assam,30394000,6078,4711,1367,1013,927,86,253,191,62
Bihar,112700000,22540,10763,11777,3756,1684,2072,939,310,629
Chhattisgarh,22149000,4429,5056,,738,770,,184,171,13
Goa,367000,73,203,,12,21,,3,1,2
Gujarat,36746000,7349,9204,,1224,1490,,306,354,
Haryana,17525000,3505,2536,969,584,392,192,146,102,44
Himachal Pradesh,6729000,1345,2117,,224,554,,56,102,
Jharkhand,29433000,5886,3864,2022,981,310,671,245,190,55
Karnataka,37539000,7507,8724,,1251,2131,,312,189,123
Kerala,8118000,1623,4902,,270,782,,67,212,
Madhya Pradesh,62113000,12422,10256,2166,2070,1442,628,517,327,190
Maharashtra,65206000,13041,10727,2314,2173,1916,257,543,260,283
Manipur,2190000,438,391,47,73,74,,18,8,10
Meghalaya,2680000,536,464,72,89,116,,22,27,
Mizoram,560000,112,295,,18,56,,4,9,
Nagaland,1188000,237,447,,39,125,,9,8,1
Odisha,37713000,7542,6601,941,1257,1278,,314,330,
Punjab,17879000,3575,2857,718,595,397,198,148,84,64
Rajasthan,59985000,11997,14723,,1999,2455,,499,737,
Sikkim,340000,68,149,,11,24,,2,2,0
Tamil Nadu,35363000,7072,8713,,1178,1415,,294,388,
Telangana,19660000,3932,4226,,655,595,60,163,29,134
Tripura,2497000,499,957,,83,111,,20,18,2
Uttarakhand,7481000,1496,1796,,249,544,,62,51,11
Uttar Pradesh,180535000,36107,25531,10576,6017,3015,3002,1504,932,572
West Bengal,62520000,12504,12531,,2084,907,1177,521,346,175
Andaman & Nicobar Islands,224000,44,126,,7,22,,1,4,
Chandigarh,0,0,,,0,,,0,,
Dadra & Nagar Haveli and Daman & Diu,240000,48,94,,8,12,,2,3,
Delhi,74000,14,7,7,2,3,,0,0,0
Jammu & Kashmir,9481000,1896,2424,,316,884,,79,46,33
Ladakh,206000,41,288,,6,32,,1,7,
Lakshadweep,0,0,10,,0,4,,0,3,
Puducherry,499000,99,54,45,16,25,,4,3,1
